PARK_NAME,ADDRESS,TREES_KIND
장안근린공원,"서울특별시 동대문구 장안동 300","모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 "
용두근린공원,"서울특별시 동대문구 용두동 34-1","모과나무 매실나무 단풍나무 목련 잣나무 이팝나무 버드나무 산딸나무 은행나무 소나무 산수유 뽕나무 향나무 감나무 느티나무 벚나무 메타세쿼이아 백합나무 배롱나무 때죽나무 살구나무 참나무 회화나무 왕벚나무 대추나무 중국단풍 밤나무 주목 자귀나무 "
용머리어린이공원,"서울특별시 동대문구 용두동 696-8",
작은언덕소공원,"서울특별시 동대문구 회기동 351-6",
용두6구역소공원,"서울특별시 동대문구 용두동 765-12",
우산각어린이공원,"서울특별시 동대문구 신설동 109-4","양버즘나무 단풍나무 목련 잣나무 산딸나무 은행나무 소나무 산수유 뽕나무 느티나무 벚나무 메타세쿼이아 오동나무 측백나무 살구나무 자두나무 주목 "
진달래어린이공원,"서울특별시 동대문구 휘경동 49-384",
안골어린이공원,"서울특별시 동대문구 장안동 402","단풍나무 잣나무 은행나무 소나무 산수유 느티나무 측백나무 전나무 "
장일어린이공원,"서울특별시 동대문구 장안동 164-1","단풍나무 잣나무 은행나무 소나무 산수유 느티나무 벚나무 살구나무 복숭아나무 "
미나리어린이공원,"서울특별시 동대문구 장안동 449","양버즘나무 단풍나무 목련 잣나무 산딸나무 은행나무 소나무 산수유 뽕나무 향나무 느티나무 벚나무 모감주나무 오동나무 칠엽수 살구나무 중국단풍 "
답십리근린공원,"서울특별시 동대문구 답십리동 산2-9",
한내어린이공원,"서울특별시 동대문구 장안동 348","단풍나무 잣나무 이팝나무 산딸나무 은행나무 소나무 피나무 산수유 느티나무 벚나무 모감주나무 "
장이소공원,"서울특별시 동대문구 장안동 587-1","모과나무 단풍나무 목련 잣나무 이팝나무 소나무 느티나무 벚나무 배롱나무 팽나무 참나무 "
미리내어린이공원,"서울특별시 동대문구 장안동 93-29",
샛별어린이공원,"서울특별시 동대문구 장안동 379","모과나무 양버즘나무 단풍나무 목련 잣나무 이팝나무 산딸나무 소나무 피나무 감나무 느티나무 메타세쿼이아 살구나무 주목 "
샛말어린이공원,"서울특별시 동대문구 전농동 695-1",
휘경마당소공원,"서울특별시 동대문구 휘경동 375-1",
새움어린이공원,"서울특별시 동대문구 답십리동 1009-1",
선농단역사공원,"서울특별시 동대문구 제기동 274-1",
장평근린공원,"서울특별시 동대문구 장안동 356",
청량근린공원,"서울특별시 동대문구 청량리동 산1-1",
장미어린이공원,"서울특별시 동대문구 장안동 386","양버즘나무 단풍나무 잣나무 은행나무 소나무 느티나무 "
휘봉어린이공원,"서울특별시 동대문구 휘경동 43-275",
쉼터어린이공원,"서울특별시 동대문구 답십리동 952-5",
새샘근린공원,"서울특별시 동대문구 답십리동 294-69",
이삭어린이공원,"서울특별시 동대문구 전농동 675",
아름어린이공원,"서울특별시 동대문구 휘경동 43-275",
천장어린이공원,"서울특별시 동대문구 이문동 264-181",
배봉산근린공원,"서울특별시 동대문구 전농동 산32-20",
느티나무어린이공원,"서울특별시 동대문구 용두동 138-61",
꿈동산어린이공원,"서울특별시 동대문구 답십리동 1002-1",
솔바람소공원,"서울특별시 동대문구 용두동 794-1",
동산어린이공원,"서울특별시 동대문구 답십리동 998-1","모과나무 단풍나무 목련 잣나무 이팝나무 소나무 사과나무 감나무 느티나무 벚나무 느릅나무 주목 "
아름드리어린이공원,"서울특별시 동대문구 전농동 688-7","단풍나무 잣나무 산딸나무 소나무 사과나무 산수유 뽕나무 가죽나무 느티나무 벚나무 메타세쿼이아 "
홍릉근린공원,"서울특별시 동대문구 청량리동 산1-145",
간데메근린공원,"서울특별시 동대문구 답십리동 471",
용두5구역어린이공원,"서울특별시 동대문구 용두동 795-2",
"용두6구역 대체공원소공원","서울특별시 동대문구 답십리동 53-43",
늘푸른어린이공원,"서울특별시 동대문구 장안동 303",
늘봄어린이공원,"서울특별시 동대문구 장안동 343","모과나무 양버즘나무 단풍나무 이팝나무 은행나무 소나무 산수유 향나무 감나무 느티나무 모감주나무 칠엽수 "
장령당소공원,"서울특별시 동대문구 답십리동 1004-4",
방아다리어린이공원,"서울특별시 동대문구 제기동 132-1","단풍나무 목련 잣나무 이팝나무 산딸나무 소나무 산수유 감나무 느티나무 벚나무 측백나무 주목 "
내길소공원,"서울특별시 동대문구 휘경동 368-4",
휘경어린이공원,"서울특별시 동대문구 휘경동 372-2","단풍나무 목련 잣나무 이팝나무 산딸나무 은행나무 소나무 산수유 감나무 느티나무 벚나무 측백나무 살구나무 자두나무 중국단풍 말채나무 "
마로니에어린이공원,"서울특별시 동대문구 장안동 325","단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 "
이슬어린이공원,"서울특별시 동대문구 장안동 190-62",
용두희망어린이공원,"서울특별시 동대문구 용두동 715",
텃골근린공원,"서울특별시 동대문구 전농동 553-1",
